197,"Wrestling Men's Lightweight, Greco-Roman"
207,"Fencing Men's Sabre, Individual"
212,"Wrestling Men's Super-Heavyweight, Greco-Roman"
213,"Shooting Men's Free Pistol, 50 metres"
213,"Shooting Men's Air Pistol, 10 metres"
216,Rowing Men's Coxless Fours
217,Boxing Men's Light-Flyweight
218,Boxing Men's Super-Heavyweight
224,"Wrestling Men's Flyweight, Greco-Roman"
225,"Shooting Women's Air Rifle, 10 metres"
236,Weightlifting Men's Middle-Heavyweight
243,Athletics Men's Javelin Throw
249,Volleyball Women's Volleyball
250,"Wrestling Men's Welterweight, Greco-Roman"
250,"Wrestling Men's Middleweight, Greco-Roman"
252,"Athletics Men's 3,000 metres Steeplechase"
257,"Wrestling Men's Middleweight, Freestyle"
259,Swimming Women's 100 metres Backstroke
259,Swimming Women's 200 metres Backstroke
259,Swimming Women's 4 x 100 metres Medley Relay
264,"Wrestling Men's Light-Heavyweight, Freestyle"
267,Modern Pentathlon Men's Team
271,Boxing Men's Bantamweight
273,Athletics Women's 200 metres
277,Table Tennis Women's Singles
277,Table Tennis Women's Doubles
279,Shooting Men's Skeet
290,Swimming Women's 50 metres Freestyle
293,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
300,Athletics Men's Triple Jump
310,Weightlifting Women's Lightweight
314,Athletics Women's Long Jump
315,"Fencing Women's epee, Individual"
317,Swimming Men's 200 metres Freestyle
317,Swimming Men's 4 x 100 metres Freestyle Relay
326,Swimming Men's 200 metres Backstroke
326,Swimming Men's 200 metres Individual Medley
331,Swimming Men's 400 metres Individual Medley
332,Badminton Women's Singles
333,Boxing Men's Light-Middleweight
334,Tennis Men's Singles
336,"Wrestling Men's Bantamweight, Freestyle"
339,"Wrestling Men's Flyweight, Freestyle"
340,"Athletics Women's 5,000 metres"
343,Weightlifting Women's Light-Heavyweight
343,Weightlifting Women's Heavyweight
347,Athletics Men's Discus Throw
353,Taekwondo Men's Featherweight
353,Taekwondo Men's Welterweight
355,Judo Men's Heavyweight
358,Cycling Men's Sprint
363,Bobsleigh Men's Two
364,"Wrestling Men's Lightweight, Freestyle"
367,Nordic Combined Men's Team
367,Nordic Combined Men's Individual
371,Baseball Men's Baseball
373,Rowing Men's Coxed Fours
380,Cycling Men's 100 kilometres Team Time Trial
387,Rhythmic Gymnastics Women's Group
389,"Art Competitions Mixed Architecture, Designs For Town Planning"
389,"Art Competitions Mixed Architecture, Architectural Designs"
394,Gymnastics Women's Individual All-Around
394,Gymnastics Women's Team All-Around
394,Gymnastics Women's Floor Exercise
394,Gymnastics Women's Horse Vault
394,Gymnastics Women's Uneven Bars
